mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
gdb_1859,CC1OC(C)C=C1,4.66538,2.24818,1.8119,1.3262,66.28,-0.2305,0.0176,0.248,766.1778,0.147908,-309.732713,-309.725486,-309.724542,-309.763832,26.947
gdb_2063,C1C=CC(=O)CO1,5.05677,2.64969,1.8156,3.3389,56.89,-0.2363,-0.0578,0.1785,661.686,0.102711,-344.47209,-344.466173,-344.465228,-344.501882,21.838
gdb_26185,CC(C)c1[nH]cc(n1)O,3.84934,0.95306,0.91675,2.8443,78.58,-0.1918,0.0361,0.2278,1366.0005,0.159715,-419.260632,-419.251402,-419.250458,-419.295526,34.494
gdb_59489,CC(C)C1NC1CC#N,2.41433,1.09111,0.82664,3.4898,82.94,-0.264,0.0333,0.2974,1435.6622,0.181831,-383.270857,-383.260849,-383.259905,-383.3064,36.503
gdb_89454,CC12CC(O)C1(O)CO2,2.32352,1.55764,1.39803,2.2583,70.9,-0.2396,0.055,0.2946,1044.2561,0.157178,-460.131865,-460.122789,-460.121845,-460.165558,34.312
gdb_95007,CN1CCC2C3OC2C13,2.94554,1.65287,1.24035,2.1782,78.74,-0.2101,0.0726,0.2827,1052.1725,0.173016,-403.076736,-403.069432,-403.068488,-403.108144,29.879
gdb_125965,CC1CN1C1=CN=NN1,3.78567,1.21323,1.02846,5.5765,75.38,-0.2185,0.0122,0.2307,1160.0345,0.137422,-414.155182,-414.147241,-414.146297,-414.18826,29.587
gdb_61385,CC(OC(=O)C=O)C=O,3.17716,0.89786,0.78749,1.2754,64.08,-0.2723,-0.0965,0.1758,1415.6909,0.107851,-494.936108,-494.926386,-494.925442,-494.9724,32.12
gdb_50471,O=CC1CNC(=O)CO1,4.44213,1.02451,0.85653,1.3431,66.07,-0.2484,-0.0463,0.2022,1263.0984,0.12427,-475.05811,-475.049817,-475.048873,-475.091717,29.743
gdb_83069,OC1C2OC=NC12C#C,2.96843,1.51455,1.28827,1.0735,68.31,-0.2425,0.0046,0.2471,981.7848,0.099908,-436.629891,-436.622197,-436.621253,-436.661877,29.28
gdb_95461,CC1OCC=C1CC#N,3.03375,1.1671,0.94414,3.627,78.45,-0.2437,-0.0064,0.2373,1249.1004,0.147164,-401.971102,-401.962154,-401.96121,-402.005693,32.087
gdb_19988,C#CC1OC1C1CN1,3.67221,1.71705,1.34603,1.6038,67.11,-0.2436,0.0123,0.2559,912.3116,0.117987,-362.569817,-362.562254,-362.561309,-362.60195,27.842
gdb_47515,N=C1OCCC2CC1C2,2.56866,1.75967,1.29074,3.2057,80.01,-0.2513,0.0217,0.273,1036.2529,0.174699,-403.152839,-403.145466,-403.144522,-403.184484,30.011
gdb_36925,C(C1OCC=C1)N1CC1,4.39766,0.94159,0.83466,1.8949,81.65,-0.229,0.0162,0.2452,1409.7071,0.171396,-403.111605,-403.103139,-403.102195,-403.145631,31.495
gdb_58005,CC(O)C(=N)OCC=O,4.07357,0.72363,0.64132,1.2537,70.75,-0.2631,-0.0501,0.213,1687.4495,0.143716,-476.229536,-476.219211,-476.218267,-476.266521,35.405
gdb_64059,CC1(CC=CCC=C1)C,2.50961,1.40437,1.13892,0.2059,93.06,-0.2321,0.0234,0.2555,1217.8217,0.206116,-351.170099,-351.160809,-351.159865,-351.203956,36.501
gdb_68648,OC12CC(CC1=O)C=C2,2.52694,1.95882,1.5158,2.719,71.75,-0.2351,-0.0277,0.2073,914.9771,0.137423,-421.854109,-421.847126,-421.846182,-421.885063,29.048
gdb_100381,COC(C)(CC=O)C#C,2.33175,1.11356,0.97557,2.858,78.41,-0.2473,-0.0265,0.2208,1309.1365,0.153626,-422.987606,-422.976813,-422.975869,-423.023935,38.003
gdb_96748,CN=C(C#N)OCC#N,3.34719,0.86635,0.69413,4.5285,72.18,-0.3031,-0.0685,0.2347,1511.5822,0.099052,-432.875358,-432.865989,-432.865045,-432.910664,31.24
gdb_54089,NC(=O)C(OC=O)C=O,2.57845,1.17396,0.87262,2.544,60.91,-0.2685,-0.0551,0.2134,1249.852,0.097819,-511.014478,-511.005225,-511.00428,-511.049452,31.575
gdb_111616,OCC1C2C3CC3CN12,2.56992,1.58555,1.30666,1.8914,76.86,-0.218,0.0682,0.2862,1051.5324,0.173466,-403.09001,-403.082221,-403.081277,-403.122137,31.278
gdb_100577,OCC(O)C(=O)CC#C,2.53339,1.04362,0.78659,2.6216,71.29,-0.2631,-0.0317,0.2315,1412.8839,0.13194,-458.933605,-458.923543,-458.922599,-458.969315,35.89
gdb_23825,FC1=NC(=N)ON=C1,3.99238,2.00968,1.33677,3.0208,53.38,-0.272,-0.1043,0.1677,792.3119,0.059882,-454.713443,-454.707377,-454.706433,-454.744297,21.883
gdb_90248,OC1CC23CCC2C1O3,3.74841,1.38702,1.33609,2.5618,75.43,-0.2449,0.0513,0.2962,1022.6533,0.160621,-422.915793,-422.908743,-422.907799,-422.946813,29.979
gdb_79510,CC1C2C3OC2C3C1=O,3.12183,1.59458,1.24547,1.9206,71.32,-0.2334,-0.0241,0.2093,1006.2769,0.136169,-421.78481,-421.777596,-421.776652,-421.816477,28.374
gdb_133471,c1c(nn[nH]1)C(F)(F)F,3.60993,1.21008,1.07659,4.9843,49.0,-0.2886,-0.0241,0.2645,1028.3185,0.064053,-579.227455,-579.220472,-579.219528,-579.260276,24.784
gdb_4279,c1c[nH]c(nc1=O)N,3.85578,2.01016,1.32346,7.7785,63.35,-0.2229,-0.0152,0.2078,850.6165,0.098482,-394.846598,-394.839933,-394.838989,-394.877301,25.475
gdb_18333,O=C1NCC2CCC12,3.22085,2.30509,1.57176,3.754,67.55,-0.2349,0.0331,0.268,829.5588,0.145415,-363.900792,-363.894086,-363.893142,-363.931796,25.983
gdb_10064,CCC(OC)C#CC,2.89584,1.12538,0.84674,1.3409,80.99,-0.247,0.0466,0.2936,1418.2286,0.173723,-348.977223,-348.96663,-348.965685,-349.014078,35.726
gdb_57726,CC(C)(CCC=O)C=O,3.2605,0.72474,0.69997,1.2853,80.78,-0.2515,-0.0347,0.2168,1671.8909,0.177774,-424.252138,-424.241123,-424.240179,-424.289636,38.198
gdb_68200,OC12CC(C1)C(C2)C#N,3.61359,1.20139,1.12018,2.9318,75.47,-0.2716,0.032,0.3036,1118.2078,0.149451,-401.956906,-401.949236,-401.948292,-401.98887,30.564
gdb_108699,OCC1=C2CC3C2N3C1,3.4117,1.51091,1.21206,0.4829,78.8,-0.2107,-0.0491,0.1617,1031.9216,0.147494,-401.815227,-401.807608,-401.806664,-401.847175,30.036
gdb_69073,OC12CC1(CC=C2)C#C,2.56502,1.64665,1.24188,1.4568,80.5,-0.2243,0.0059,0.2301,1037.2698,0.134674,-384.651405,-384.643197,-384.642253,-384.683649,32.62
gdb_39574,C1C=CC2OC1CC=C2,2.50918,2.00025,1.53646,1.3025,79.72,-0.2281,0.0085,0.2367,943.9634,0.162677,-385.905215,-385.898218,-385.897274,-385.936789,28.692
gdb_91356,OC1CC2CC(O)C12O,1.93006,1.70604,1.57214,2.6266,70.27,-0.2346,0.0542,0.2888,1013.8139,0.158386,-460.127565,-460.118768,-460.117824,-460.160662,34.245
gdb_79715,OC1C2C3OC3C1C2O,2.86172,1.70209,1.36831,3.7503,66.24,-0.2498,0.066,0.3158,950.6034,0.137405,-458.903246,-458.896312,-458.895368,-458.934119,28.981
gdb_95021,CC1OCC2C3CC3C12,2.56572,1.80027,1.41965,1.5154,80.68,-0.2283,0.0831,0.3114,1014.5222,0.184858,-387.066871,-387.0593,-387.058356,-387.09849,31.041
gdb_3581,OC1C2C3CN3C12,4.93507,2.892,2.45586,1.4088,56.37,-0.2229,0.0578,0.2807,589.1131,0.114042,-324.467888,-324.462139,-324.461194,-324.497015,22.863
gdb_19382,O=C1C2CC2C11CC1,3.1156,2.28607,1.59361,3.2303,70.06,-0.2375,-0.0082,0.2293,828.7825,0.130803,-346.580429,-346.573599,-346.572655,-346.611304,26.585
gdb_3936,c1c(nnnn1)O,6.41034,2.89346,1.9936,4.2366,46.93,-0.2669,-0.0921,0.1749,562.4829,0.055581,-371.504707,-371.499605,-371.498661,-371.533604,18.347
gdb_58408,CC(C)C(OC=O)C=O,2.34275,1.14236,0.80908,5.4772,74.29,-0.2699,-0.0471,0.2228,1413.989,0.155114,-460.194914,-460.184575,-460.18363,-460.231138,35.802
gdb_11731,CCC12CC1C(=O)C2,4.78071,1.331,1.20187,3.5535,73.17,-0.2376,-0.0049,0.2327,1048.0338,0.153201,-347.80507,-347.797202,-347.796257,-347.83739,29.715
gdb_90241,CC1CC23COC2C1O3,3.73998,1.39163,1.32209,0.6555,75.61,-0.248,0.0266,0.2746,1038.6185,0.159282,-422.891983,-422.884577,-422.883633,-422.923402,30.342
gdb_30277,CC1CNC2=C1N=CO2,3.03834,1.62013,1.10867,2.3936,74.49,-0.1917,0.0165,0.2082,1069.5766,0.138915,-418.025694,-418.018279,-418.017335,-418.057707,28.465
gdb_116114,OCC1CCNC(=O)C1,2.61006,1.15301,0.83969,4.8604,75.96,-0.232,0.0356,0.2676,1359.87,0.172695,-440.33099,-440.321988,-440.321043,-440.365028,33.531
gdb_44748,O=C1CN2CC(C2)C1=O,2.65379,1.83366,1.29889,3.717,68.5,-0.2287,-0.0863,0.1424,960.571,0.125541,-437.87718,-437.87007,-437.869126,-437.90899,27.606
gdb_75004,CC1=CC2OCC3C2C13,3.04917,1.62349,1.45984,1.8466,78.78,-0.2221,0.0127,0.2347,987.4649,0.161837,-385.890038,-385.882967,-385.882022,-385.92124,29.0
gdb_45837,N=C1CN=CNC(=O)N1,2.43086,1.7494,1.06929,1.7098,70.72,-0.2623,-0.0234,0.2389,1057.4642,0.116281,-450.180015,-450.172571,-450.171627,-450.212284,27.996
gdb_8406,CC1(C)CC11CCO1,3.42516,1.67495,1.46289,1.5606,75.56,-0.2195,0.0851,0.3047,974.322,0.175582,-348.978829,-348.970197,-348.969253,-349.011651,32.375
gdb_35504,N#CC1OC2CC=CC12,3.04032,1.50695,1.2621,4.3746,73.41,-0.2623,-0.0056,0.2567,1009.4776,0.126049,-400.751303,-400.744125,-400.743181,-400.783298,27.391
gdb_63087,CC1(C)C2CCC(=O)C12,2.52958,1.39407,1.21031,3.2413,83.0,-0.2319,-0.0098,0.2221,1156.7027,0.182469,-387.122069,-387.113192,-387.112248,-387.15524,34.412
gdb_90811,OC1CC2C3C2N2C3C12,3.2086,1.73336,1.39162,2.3822,73.05,-0.2208,0.0617,0.2826,946.3516,0.15015,-401.872272,-401.865426,-401.864482,-401.903606,28.251
gdb_33357,C#CC#CC1CCCC1,6.10857,0.64674,0.60557,1.5108,99.33,-0.2366,-0.0072,0.2294,1824.917,0.159428,-348.722578,-348.713354,-348.712409,-348.758443,33.718
gdb_98075,CN(C)C(=N)C(=O)CO,2.74795,1.0503,0.90647,2.7702,75.72,-0.2376,-0.0505,0.1871,1359.5994,0.156699,-456.345998,-456.335416,-456.334472,-456.382665,36.527
gdb_4366,c1cc(nc(c1)O)N,3.68126,2.00239,1.29815,2.1884,68.54,-0.2028,-0.0027,0.2001,878.8866,0.110275,-378.803059,-378.796514,-378.795569,-378.833388,26.177
gdb_25365,c1c(nc2n1CC2)C=O,5.88208,1.05635,0.90586,7.3954,77.91,-0.2365,-0.034,0.2025,1220.7204,0.114382,-416.821547,-416.814285,-416.813341,-416.853719,26.571
gdb_70060,CC12OC1C=C1CCC21,3.09712,1.60524,1.28328,1.5441,81.12,-0.2328,0.0022,0.235,1038.7735,0.159913,-385.857465,-385.849917,-385.848973,-385.889041,30.522
gdb_70888,CC12OC3(C)CC1C23O,2.3659,1.64454,1.44201,2.2755,75.92,-0.2248,0.0656,0.2904,1039.6075,0.156947,-422.970476,-422.96168,-422.960736,-423.003199,34.119
gdb_101647,COC(C)CC(O)C#N,2.90649,0.82715,0.76271,4.3904,76.93,-0.2652,0.0143,0.2794,1575.7178,0.167904,-440.287348,-440.276507,-440.275563,-440.324097,37.803
gdb_109772,COC1C(C)C1C(C)C,2.25679,1.16258,0.91125,1.1341,89.94,-0.2341,0.0754,0.3095,1454.4515,0.226249,-389.475765,-389.464468,-389.463524,-389.512156,41.089
gdb_51990,N=COC(=O)CCC=O,6.70023,0.57167,0.53659,2.1825,70.36,-0.2619,-0.0347,0.2272,1930.6522,0.120944,-475.063232,-475.053431,-475.052487,-475.100298,32.161
gdb_3141,N=C1OCC11CC1,4.38428,2.7132,1.95743,2.6185,59.32,-0.2562,0.0256,0.2819,669.8761,0.114358,-324.559213,-324.553035,-324.552091,-324.589151,23.187
gdb_32362,OCC1=CNC(=N)C=N1,4.77809,1.01264,0.84573,1.5257,78.98,-0.2029,-0.0538,0.1491,1301.4168,0.126558,-434.091363,-434.083388,-434.082444,-434.124229,29.992
gdb_102615,CCC(CC)OC(=O)C,1.61676,1.38299,0.89459,1.8965,82.75,-0.2653,0.0205,0.2859,1457.264,0.202208,-425.484672,-425.473053,-425.472109,-425.524458,39.887
gdb_116236,CN=C1OCOC1CO,2.76161,1.19744,0.89909,2.3922,71.03,-0.2572,0.0159,0.2732,1297.2577,0.147078,-476.22256,-476.213234,-476.21229,-476.257611,32.431
gdb_74430,CC1=CC2(O)CC2OC1,2.73022,1.43736,1.10279,1.8199,78.4,-0.2284,0.0138,0.2422,1152.5133,0.158292,-423.010774,-423.002157,-423.001213,-423.043578,33.423
gdb_61518,CC(CC1(C)CO1)C#N,2.53212,1.09712,0.93309,3.22,78.89,-0.2739,0.035,0.3089,1354.8821,0.168941,-403.154305,-403.144386,-403.143442,-403.189413,36.058
gdb_48533,O=CC12C3OC1C(=O)C23,2.80658,1.5018,1.25778,3.5233,64.47,-0.249,-0.0584,0.1906,979.7107,0.087794,-456.508342,-456.501302,-456.500358,-456.540392,25.978
gdb_78356,CC1C2C1C1(CO1)C2C,2.60747,1.36553,1.08662,1.8578,83.27,-0.2545,0.0853,0.3398,1219.1503,0.181372,-387.046748,-387.037811,-387.036866,-387.079999,34.414
gdb_68429,NC12CC(C1)OC2C#N,2.66293,1.66648,1.28557,3.7339,71.86,-0.2543,0.0084,0.2626,999.87,0.137633,-417.989139,-417.981524,-417.98058,-418.021016,30.06
gdb_102896,COC(CCC#N)C#C,3.01182,0.79316,0.64994,4.885,79.67,-0.28,0.0197,0.2997,1665.2297,0.144716,-401.918884,-401.908621,-401.907676,-401.954974,35.672
gdb_91419,CC1CC2CC(C2)C1O,2.4566,1.61155,1.25496,1.6215,84.01,-0.2532,0.0661,0.3193,1118.881,0.208337,-388.292166,-388.283799,-388.282855,-388.324486,34.311
gdb_112348,COC1OC(=N)C=C1C,2.2316,1.51908,0.95384,3.3812,78.86,-0.2498,-0.0298,0.22,1239.2947,0.146884,-439.112412,-439.103403,-439.102459,-439.146387,32.552
gdb_45385,N=C1OC2CNC12C#N,2.26677,1.83878,1.26336,4.3859,68.09,-0.2645,-0.0243,0.2402,983.1702,0.101886,-432.832658,-432.825262,-432.824318,-432.8647,27.63
gdb_87766,CC12CC3(CC3O)C1O2,3.82907,1.06313,1.05913,2.596,76.84,-0.2396,0.0744,0.314,1234.8892,0.157112,-422.968563,-422.959832,-422.958888,-423.001659,33.705
gdb_84731,CC1C=CC=CCC1=O,2.48232,1.58941,1.06353,2.2578,84.36,-0.236,-0.0307,0.2052,1148.7811,0.159423,-385.928577,-385.920184,-385.91924,-385.961673,32.342
gdb_120801,COCC1NC1CC#C,5.20323,0.6289,0.596,1.478,83.33,-0.2482,0.0536,0.3018,1881.3389,0.16847,-403.07072,-403.060438,-403.059494,-403.107187,36.274
gdb_28861,OC1=NC=NC(=N)C=C1,3.4298,1.39344,1.05496,2.9473,75.8,-0.2475,-0.0778,0.1697,1070.7997,0.103492,-432.897535,-432.890408,-432.889464,-432.929495,27.014
gdb_49492,O=CC1C2CC1(O2)C#C,2.30744,1.6359,1.16815,1.0555,73.15,-0.2465,-0.0445,0.202,1051.7339,0.109903,-420.519378,-420.511373,-420.510429,-420.552322,29.915
gdb_27837,c1c(nc(oc1=O)O)N,2.08869,1.89744,0.99436,3.3793,65.81,-0.2255,-0.0249,0.2006,1080.2616,0.090054,-489.971141,-489.963444,-489.9625,-490.00329,28.913
gdb_50194,O=CC1CC2C1CC2=O,3.052,1.28076,1.10694,3.5661,72.56,-0.243,-0.0353,0.2077,1114.0015,0.13471,-421.823872,-421.815836,-421.814891,-421.85739,29.719
gdb_116762,COC=NCC(C)C#C,4.51521,0.60105,0.55372,3.0172,87.91,-0.2483,0.015,0.2632,2006.9799,0.167148,-403.109972,-403.098982,-403.098037,-403.147433,37.887
gdb_12113,CC1(CC1)C2(CC2)C,2.96992,1.85824,1.44413,0.0512,81.3,-0.24,0.0864,0.3265,990.8872,0.199805,-313.046998,-313.038445,-313.037501,-313.079351,34.398
gdb_63982,CC1(C)CC2OCOC12,2.96,1.44245,1.25966,1.3367,77.09,-0.2485,0.0754,0.3238,1098.0972,0.182743,-424.223589,-424.215071,-424.214127,-424.256396,33.215
gdb_56024,CC(=O)CC1OCCO1,3.64971,0.97082,0.8724,3.1267,72.54,-0.2417,-0.011,0.2307,1374.0209,0.157945,-460.184642,-460.175266,-460.174322,-460.220671,32.558
gdb_115928,COC1CCC2OC2C1,3.54789,1.10474,0.93308,2.4615,78.34,-0.2495,0.0815,0.3311,1304.8075,0.18352,-424.216477,-424.207889,-424.206944,-424.249941,32.728
gdb_69935,CC12CC1C1CCC1=C2,3.75983,1.34692,1.17022,0.3579,89.32,-0.2159,0.0202,0.2362,1137.9603,0.184097,-349.929889,-349.922119,-349.921175,-349.961573,32.052
gdb_93135,CC1CN=COC2CC12,2.21538,1.91314,1.36421,2.0891,78.64,-0.2339,0.0235,0.2575,1024.6991,0.172582,-403.136397,-403.128349,-403.127405,-403.168622,31.784
gdb_33728,C#CC12CC(C1)C1OC21,3.30435,1.51621,1.29109,1.8688,77.81,-0.2503,0.0384,0.2887,1000.4345,0.136631,-384.607981,-384.601026,-384.600082,-384.639052,29.031
gdb_6758,CCCC#CC(C)C,5.72677,0.66207,0.61538,0.1753,88.89,-0.2389,0.0623,0.3012,1922.9043,0.198067,-313.06282,-313.052193,-313.051249,-313.099956,37.153
gdb_28471,Cc1cnc(c(n1)O)O,3.14233,1.4306,0.98906,1.2399,73.57,-0.2214,-0.0338,0.1875,1135.1556,0.113585,-454.020169,-454.012344,-454.011399,-454.052526,29.653
gdb_85411,CC1OC(=O)NC(C)=C1,2.07261,1.7124,1.04616,4.6711,75.48,-0.2215,0.0067,0.2282,1170.8012,0.147686,-439.153569,-439.144781,-439.143837,-439.187155,32.758
gdb_65427,CC1(CC1CC#N)C=O,4.25085,0.78389,0.74884,1.747,78.54,-0.2625,-0.0309,0.2316,1508.822,0.14567,-401.968398,-401.958861,-401.957917,-402.003465,33.907
gdb_81140,CC1C2CC1(NC2)C#N,2.44106,1.66106,1.22718,4.5273,79.73,-0.2412,0.0216,0.2628,1069.2073,0.161729,-382.062368,-382.054459,-382.053515,-382.094509,31.243
gdb_22446,CCC(=NO)C(C)C#N,2.12855,1.14514,0.92208,3.7649,78.92,-0.2636,-0.0101,0.2535,1360.2011,0.156989,-419.189537,-419.179162,-419.178218,-419.225506,36.839
gdb_65120,CC1(CO1)C1=NCCO1,3.45261,1.24422,1.03476,2.1764,73.31,-0.2465,0.008,0.2545,1189.7519,0.147427,-439.082064,-439.073449,-439.072505,-439.116376,31.01
gdb_79873,OC1C2C3COC2C13O,2.99137,1.60865,1.38606,1.5446,67.16,-0.2294,0.0701,0.2994,962.145,0.136206,-458.90823,-458.90071,-458.899766,-458.939769,29.884
gdb_127203,CN1C(=N)ON=CC1=N,2.35635,2.02979,1.09792,1.726,72.9,-0.2497,-0.0696,0.1801,1029.3809,0.113488,-450.108643,-450.100615,-450.099671,-450.141944,29.183
gdb_18753,CC1CC2CC(O)C12,2.76301,2.17445,1.52713,1.6584,73.58,-0.2509,0.063,0.314,909.3714,0.177959,-348.974936,-348.967166,-348.966221,-349.006721,30.712
gdb_39636,C1CC(C1)C2=NCCO2,4.38507,1.00486,0.8993,1.1122,80.89,-0.2381,0.0287,0.2668,1355.8316,0.1731,-403.160547,-403.152153,-403.151209,-403.195118,30.524
gdb_22953,ON=C1CCC1NC=O,3.18604,0.94254,0.78189,3.3914,75.38,-0.2467,-0.0057,0.2411,1424.099,0.135063,-455.114346,-455.105254,-455.10431,-455.149457,32.458
gdb_47095,O=C1CCC2OCCC12,2.46547,1.79683,1.24109,2.2289,74.25,-0.2382,-0.0179,0.2203,1039.3185,0.161613,-423.07097,-423.063369,-423.062424,-423.103742,29.223
gdb_91737,CC1CC2OC1CC2C,3.01184,1.34021,1.25825,1.4356,83.71,-0.2476,0.0801,0.3277,1160.4199,0.208471,-388.318341,-388.31007,-388.309126,-388.350821,33.539
gdb_97966,CC(C)CCC#CCO,4.57214,0.45894,0.4459,1.2705,92.99,-0.2398,0.0378,0.2776,2536.5072,0.202573,-388.264986,-388.253184,-388.25224,-388.30453,40.82
gdb_133813,C1C=C2C3C4OC13C24,4.9968,1.60349,1.24477,1.5676,84.64,-0.2136,-0.0912,0.1224,918.0575,0.105308,-345.307431,-345.300244,-345.2993,-345.338977,26.282
gdb_81392,CC1C2CC1C(N2)C#N,4.08227,1.1269,1.07362,5.1436,79.53,-0.2428,0.0305,0.2733,1182.3631,0.161782,-382.058438,-382.050592,-382.049648,-382.090649,30.835
gdb_18774,CC12C3C4C(CC14)N23,3.95463,2.44605,2.12835,1.6768,70.55,-0.2226,0.0847,0.3073,725.1164,0.143663,-326.645302,-326.639233,-326.638288,-326.675017,25.136
gdb_87207,CC1CC1(C)CN1CC1,3.92057,0.8636,0.8048,1.0251,90.86,-0.2291,0.085,0.3141,1560.5432,0.216157,-368.372253,-368.362114,-368.36117,-368.407456,38.195
gdb_26340,Cc1nc(co1)N(C)C,3.92404,1.0822,0.86938,0.8186,80.55,-0.1862,0.0188,0.205,1357.1782,0.158583,-419.24022,-419.230703,-419.229759,-419.274867,33.916
gdb_72980,NC12CCC1C2(N)C#N,2.65285,1.49739,1.21509,5.8127,77.09,-0.2353,0.0327,0.268,1074.9941,0.147947,-398.095652,-398.086642,-398.085698,-398.128856,34.291
gdb_70993,OC12CC3(OCC13)C=C2,3.24273,1.60665,1.47771,2.1224,72.87,-0.2295,-0.0011,0.2284,934.057,0.135307,-421.687409,-421.680335,-421.679391,-421.718222,29.78
